x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,type
-0.10343796014785767,-0.05535978078842163,-0.026880632520715153,-0.18694031238555908,-0.16757941246032715,-0.036279823065797245,-0.22820758819580078,-0.2669461965560913,-0.04871368351678029,-0.25276610255241394,-0.36062759160995483,-0.055559954972068226,-0.1352260708808899,-0.31181931495666504,0.01959835794468745,-0.1685512661933899,-0.3243861496448517,-0.030717944161096966,-0.14328712224960327,-0.22656428813934326,-0.06816517877678052,-0.11809664964675903,-0.1469835638999939,-0.08463704902032987,-0.06952297687530518,-0.33405831456184387,0.014710207103689754,-0.10762864351272583,-0.3397446274757385,-0.03407033103803769,-0.0898357629776001,-0.22392213344573975,-0.05464426744083539,-0.07211512327194214,-0.140123188495636,-0.055011443228522694,-0.0017993450164794922,-0.33348971605300903,-0.00012128790194765315,-0.0444493293762207,-0.3262784779071808,-0.04779967236618177,-0.0359044075012207,-0.2160528302192688,-0.042752187133828556,-0.02446037530899048,-0.14280492067337036,-0.02375372628966943,0.0658692717552185,-0.3152623772621155,-0.0182038353691496,0.02018040418624878,-0.30707263946533203,-0.04674379843572751,0.014356613159179688,-0.2309589684009552,-0.037051237554351246,A
-0.10407412052154541,-0.06463801860809326,-0.02512503149876011,-0.18462544679641724,-0.18314704298973083,-0.03258285033473385,-0.22211125493049622,-0.2820587456226349,-0.04299808400639904,-0.24699079990386963,-0.37274065613746643,-0.047780298767179374,-0.12774282693862915,-0.3274794816970825,0.020113586308866616,-0.16066527366638184,-0.3250793218612671,-0.027448753965586548,-0.1354871392250061,-0.22184550762176514,-0.06430057543286694,-0.11107105016708374,-0.141071617603302,-0.08119074362286938,-0.06014043092727661,-0.3474339246749878,0.01505970754703867,-0.09641271829605103,-0.33188074827194214,-0.030116996867150192,-0.07932204008102417,-0.21678316593170166,-0.050506022898048286,-0.06347835063934326,-0.1324164867401123,-0.052526922104448204,0.008980870246887207,-0.34311923384666443,0.000606638822205241,-0.032069623470306396,-0.31898465752601624,-0.04299828144678486,-0.02451026439666748,-0.20967131853103638,-0.037931745079845314,-0.015860140323638916,-0.13477033376693726,-0.020896370661944275,0.07693654298782349,-0.32059812545776367,-0.01733982483813179,0.03370201587677002,-0.3043631315231323,-0.04384768488773716,0.028131604194641113,-0.23040851950645447,-0.03445168319115055,A
-0.09981709718704224,-0.06477880477905273,-0.032450368347099356,-0.17916548252105713,-0.1848362684249878,-0.044942768009832434,-0.2155081033706665,-0.2880992889404297,-0.05672494480245405,-0.24409204721450806,-0.37993061542510986,-0.06226918259494596,-0.11542117595672607,-0.36242061853408813,0.0012179748634935095,-0.1513739824295044,-0.3085949122905731,-0.049156421514680915,-0.13624608516693115,-0.20088458061218262,-0.08593428293102079,-0.11910933256149292,-0.12126815319061279,-0.1023595050894528,-0.04933130741119385,-0.3832433223724365,-0.0004963600179053174,-0.0916556715965271,-0.3054683804512024,-0.048213304670980506,-0.08202636241912842,-0.1828233003616333,-0.06868127146594816,-0.06760168075561523,-0.10009175539016724,-0.07137335995071226,0.017479419708251953,-0.3703770935535431,-0.01077422005914741,-0.02747666835784912,-0.29217684268951416,-0.05965738529198461,-0.02675926685333252,-0.17842161655426025,-0.054963526966503196,-0.020028352737426758,-0.10517621040344238,-0.03796609276764684,0.08101189136505127,-0.3363496661186218,-0.024812118800809912,0.03613424301147461,-0.28934791684150696,-0.05913216406338506,0.024334371089935303,-0.2019422948360443,-0.05116393575303846,A
-0.09867078065872192,-0.06566983461380005,-0.03229950041838947,-0.17735043168067932,-0.18370360136032104,-0.04452831344076458,-0.21385037899017334,-0.2863588333129883,-0.05639168293544117,-0.2421082854270935,-0.3794845640659332,-0.06203233496614757,-0.1170419454574585,-0.35719066858291626,0.0037167216711395668,-0.15045404434204102,-0.31253865361213684,-0.044851877254927786,-0.134013831615448,-0.20576733350753784,-0.08168084965416256,-0.11617082357406616,-0.1256488561630249,-0.0985383172459251,-0.04984176158905029,-0.37937015295028687,0.002867694018846123,-0.08716517686843872,-0.30453407764434814,-0.042400539380992086,-0.07709372043609619,-0.18451184034347534,-0.06308049754568401,-0.06410998106002808,-0.10080426931381226,-0.06666111992069546,0.017419099807739258,-0.36793047189712524,-0.00662672984742585,-0.023615896701812744,-0.29237237572669983,-0.05300185130306545,-0.023023545742034912,-0.1816638708114624,-0.0493526984877235,-0.016574442386627197,-0.1062512993812561,-0.03379246265956226,0.08103424310684204,-0.3358703851699829,-0.020036880386555822,0.03839766979217529,-0.29144829511642456,-0.05320997954675022,0.026695549488067627,-0.20693764090538025,-0.04660495789119068,A
-0.10352420806884766,-0.07429611682891846,-0.02518736668969268,-0.18717741966247559,-0.18633979558944702,-0.03580637001539344,-0.22564071416854858,-0.2858644425868988,-0.04921521716858024,-0.24121102690696716,-0.3786323070526123,-0.057264839346657936,-0.12001991271972656,-0.3432053327560425,0.02037806524788266,-0.14667612314224243,-0.33162906765937805,-0.02610531547213668,-0.1276155710220337,-0.2269766926765442,-0.0642021084680664,-0.10929828882217407,-0.14913666248321533,-0.08229990401412124,-0.051679253578186035,-0.359194815158844,0.015438107726026828,-0.08439958095550537,-0.3259679675102234,-0.027937891940723603,-0.07155245542526245,-0.21079257130622864,-0.049233128364335244,-0.059541165828704834,-0.12797391414642334,-0.0527618946983921,0.01572096347808838,-0.35018497705459595,0.001426759244736786,-0.021322965621948242,-0.3132675290107727,-0.04335881867552871,-0.019366323947906494,-0.2027338147163391,-0.03855881565357322,-0.01571047306060791,-0.12411701679229736,-0.02173331291521663,0.08085495233535767,-0.32221710681915283,-0.015648431192289536,0.03929173946380615,-0.3014971911907196,-0.04398532309676284,0.026867330074310303,-0.21597859263420105,-0.0327830473437416,A
-0.09877592325210571,-0.08288025856018066,-0.03611374887998409,-0.17503702640533447,-0.20322349667549133,-0.05434783044631786,-0.20834797620773315,-0.3030790090560913,-0.07249994072492427,-0.22317948937416077,-0.40114760398864746,-0.08437729123409099,-0.08897161483764648,-0.37865716218948364,-0.001377717446416682,-0.1336793303489685,-0.3412235379219055,-0.05547800901706523,-0.12667745351791382,-0.23045778274536133,-0.0963249081688673,-0.11312025785446167,-0.14662545919418335,-0.115882540674761,-0.01805567741394043,-0.3882576525211334,-0.004049090290322965,-0.07175284624099731,-0.33119818568229675,-0.05702643710549182,-0.07154953479766846,-0.2050323486328125,-0.0811329508143217,-0.0632372498512268,-0.11743831634521484,-0.08590275290782756,0.049753010272979736,-0.3650912642478943,-0.015795704530432886,-0.0075106024742126465,-0.30612123012542725,-0.06917373332555599,-0.015738368034362793,-0.18821251392364502,-0.06537248435790843,-0.014266490936279297,-0.11047786474227905,-0.048275808425501054,0.11149787902832031,-0.3211200535297394,-0.03151731434638805,0.05650728940963745,-0.2847241759300232,-0.06823869291122264,0.038574934005737305,-0.19791939854621887,-0.06058532986219234,A
-0.08505415916442871,-0.055472493171691895,-0.020599669191653902,-0.15498390793800354,-0.165427565574646,-0.02594446425479191,-0.18739023804664612,-0.2534734904766083,-0.0338073711578204,-0.20511209964752197,-0.33370375633239746,-0.03667373989861744,-0.09909921884536743,-0.29981473088264465,0.02053382958132488,-0.13237521052360535,-0.2961459755897522,-0.016661946076567347,-0.11607077717781067,-0.20540893077850342,-0.046808325100357706,-0.09723278880119324,-0.13578426837921143,-0.061147347438748056,-0.04366797208786011,-0.30945393443107605,0.015694124278013533,-0.0805586576461792,-0.2977820038795471,-0.020079383972699816,-0.07147252559661865,-0.19735735654830933,-0.03627764468234318,-0.060906171798706055,-0.1232527494430542,-0.03765630384128826,0.012877941131591797,-0.298473060131073,0.002943355476816123,-0.02831745147705078,-0.2830298840999603,-0.034159254628832514,-0.026560664176940918,-0.18455898761749268,-0.028536757800395662,-0.019847452640533447,-0.11614954471588135,-0.01331572176110285,0.06880307197570801,-0.2715272009372711,-0.01258301955800789,0.026619791984558105,-0.26748624444007874,-0.03699342196028965,0.016735494136810303,-0.1962888240814209,-0.027879892263229067,A
-0.0887642502784729,-0.06375712156295776,-0.023337372908258658,-0.15588706731796265,-0.1779177188873291,-0.030923591324949484,-0.184501051902771,-0.27059605717658997,-0.04085169299867175,-0.19708704948425293,-0.3543435335159302,-0.045308026814723235,-0.09962505102157593,-0.3061048984527588,0.017126339158153314,-0.12589389085769653,-0.3120018243789673,-0.02540939241077922,-0.11244362592697144,-0.2151014804840088,-0.05771136968758128,-0.09820568561553955,-0.1420186161994934,-0.07211767076876185,-0.040803492069244385,-0.3130587637424469,0.012211879385745306,-0.07094776630401611,-0.31295329332351685,-0.028694990420603972,-0.06543958187103271,-0.20595866441726685,-0.045549112701678496,-0.05685049295425415,-0.12993407249450684,-0.04576066448714755,0.01891016960144043,-0.29957717657089233,-0.0012184189203026108,-0.013764142990112305,-0.2966940104961395,-0.04318805351283572,-0.01824885606765747,-0.1925022006034851,-0.036130543196463805,-0.015631914138793945,-0.12274062633514404,-0.018073381254339438,0.07672441005706787,-0.26952505111694336,-0.017448061475420218,0.044239342212677,-0.2797510027885437,-0.04382040291454814,0.02902168035507202,-0.20553457736968994,-0.03231089874532245,A
-0.08467131853103638,-0.07150518894195557,-0.013618074471708042,-0.14876186847686768,-0.18796584010124207,-0.018364036569948894,-0.17560803890228271,-0.2816011607646942,-0.02768062439059804,-0.18122559785842896,-0.36332157254219055,-0.03304566454386304,-0.08291560411453247,-0.2990029454231262,0.022285284360293645,-0.1119178831577301,-0.3280046582221985,-0.015016498158331615,-0.11019816994667053,-0.23319244384765625,-0.04243073623871396,-0.09994056820869446,-0.15904396772384644,-0.05401589360332082,-0.026179611682891846,-0.29253092408180237,0.014567782056872147,-0.06209474802017212,-0.3226340115070343,-0.02339019824063371,-0.06612837314605713,-0.22052323818206787,-0.03884160157537053,-0.05996745824813843,-0.13983547687530518,-0.03806743782257627,0.03284817934036255,-0.2757667005062103,-0.0003669083503723414,-0.009672045707702637,-0.2988924980163574,-0.037990637237783176,-0.020014643669128418,-0.20129776000976562,-0.03350742545222829,-0.017677605152130127,-0.12613147497177124,-0.017883194724674922,0.09498387575149536,-0.2470637559890747,-0.016754495094176036,0.04635065793991089,-0.2723115086555481,-0.04024074238037656,0.030042409896850586,-0.20258933305740356,-0.031556490922923786,A
-0.08732205629348755,-0.06528681516647339,-0.019464078978558064,-0.15268898010253906,-0.18256205320358276,-0.023970001996417523,-0.1802629828453064,-0.27431589365005493,-0.0314957887538867,-0.1974167823791504,-0.35608214139938354,-0.033945755720992565,-0.09022730588912964,-0.30785226821899414,0.02072630667601061,-0.12843415141105652,-0.3135051429271698,-0.021494360328574658,-0.11923104524612427,-0.21292048692703247,-0.05116084745611715,-0.10429096221923828,-0.13870036602020264,-0.06359290859188604,-0.035925209522247314,-0.3119767904281616,0.014236578098575592,-0.08045274019241333,-0.31699338555336,-0.028886284367104054,-0.07664698362350464,-0.20591306686401367,-0.04378378173794317,-0.06512206792831421,-0.1289306879043579,-0.041579948426146984,0.02008044719696045,-0.2987061142921448,-0.0008917558960774841,-0.02792602777481079,-0.2961726784706116,-0.044803740144629955,-0.0301436185836792,-0.1884968876838684,-0.037313488931317806,-0.021881282329559326,-0.11994653940200806,-0.01828732124056387,0.07691043615341187,-0.2689139246940613,-0.01841048120047617,0.027049481868743896,-0.2722221910953522,-0.046472547263761044,0.01674860715866089,-0.1948164403438568,-0.036797506422658444,A
